"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/Users/edc5240/Rlibs","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"acepack","acepack","/Users/edc5240/Rlibs","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ade4","ade4","/Users/edc5240/Rlibs","1.7-19",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"adegenet","adegenet","/Users/edc5240/Rlibs","2.1.7",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, boot, reshape2, dplyr (>= 0.4.1), vegan",NA,"adespatial, pegas, hierfstat, maps, spdep, interp, splancs,
poppr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"adehabitatLT","adehabitatLT","/Users/edc5240/Rlibs","0.3.25",NA,"R (>= 2.10.0), sp, methods, ade4, adehabitatMA, CircStats,
stats","graphics, grDevices, utils",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"adehabitatMA","adehabitatMA","/Users/edc5240/Rlibs","0.3.14",NA,"R (>= 2.10.0), sp, methods","utils, graphics, grDevices, stats, filehash",NA,"maptools, tkrplot, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"ADGofTest","ADGofTest","/Users/edc5240/Rlibs","0.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"4.1.0"
"animation","animation","/Users/edc5240/Rlibs","2.7",NA,"R (>= 2.14.0)","magick",NA,"MASS, class, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.1"
"anytime","anytime","/Users/edc5240/Rlibs","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"ape","ape","/Users/edc5240/Rlibs","5.6-2",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"apex","apex","/Users/edc5240/Rlibs","1.0.4",NA,"R (>= 3.1.3), methods, ape, phangorn","utils, graphics, stats, adegenet",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"arsenal","arsenal","/Users/edc5240/Rlibs","3.6.3",NA,"R (>= 3.4.0), stats (>= 3.4.0)","knitr (>= 1.29), utils (>= 3.4.0)",NA,"broom (>= 0.7.1), magrittr, rmarkdown, testthat, xtable,
pander, survival (>= 2.43-1), coin, pROC, MASS, splines, rpart,
yaml, geepack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"askpass","askpass","/Users/edc5240/Rlibs","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"assertthat","assertthat","/Users/edc5240/Rlibs","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"backports","backports","/Users/edc5240/Rlibs","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"base64","base64","/Users/edc5240/Rlibs","2.0",NA,NA,"openssl",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"base64enc","base64enc","/Users/edc5240/Rlibs","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"bdsmatrix","bdsmatrix","/Users/edc5240/Rlibs","1.3-6",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.0"
"BH","BH","/Users/edc5240/Rlibs","1.78.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.1.1"
"bibtex","bibtex","/Users/edc5240/Rlibs","0.4.2.3",NA,"R (>= 3.0.2)","stringr, utils",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"bindr","bindr","/Users/edc5240/Rlibs","0.1.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
